"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Predictive Analytics on Facebook Data","J. A. S. Raj; J. L. Fernando; Y. S. Raj","Dept. of Comput. Sci. & Eng., Sastra Univ. Thanjavur, Thanjavur, India","2017 World Congress on Computing and Communication Technologies (WCCCT)","20171019","2017","","","93","96","Data in every organization are increasing at a rapid speed along with the volume of it increases at a large extend through various domains such as education, social network, meteorology, government and much more. Accordingly, Big Data refers to data as traditional data, Machine-generated Sensor data and Social data which are both structured and unstructured. Apache's Hadoop has proven to provide salient properties such as scalability, ease of use, and most notably robustness to node failures. Processing K-Nearest Neighbor queries in high dimensional data has received a lot of attention by researchers in recent years, which provides a way of predicting in a better way as done in this analysis. This research analysis is to find the means to enhance the classification accuracy, utilizing logistic regression and K-Nearest Neighbour a fast process technique in a machine learning technique for classification. The work aims at enhancing the rate of accuracy, true positive, false positive, precision, recall, sensitivity, specificity rate of classification using the HADOOP platform. As a source for analysis, political values are collected from social network users. The Prediction with K-NN neighbor approach is helpful to predict the patterns using opinion.","","CD:978-1-5090-5572-2; Electronic:978-1-5090-5573-9; POD:978-1-5090-5574-6","10.1109/WCCCT.2016.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8074500","Analyics;Big Data;KNN;Prediction","Big Data;Classification algorithms;Facebook;Logistics;Sensitivity;Voting","Big Data;data analysis;learning (artificial intelligence);pattern classification;query processing;regression analysis;social networking (online)","Apache Hadoop;Big Data;K-NN neighbor;Social data;classification accuracy;facebook Data;fast process technique;high dimensional data;k-nearest neighbor query processing;logistic regression;machine learning technique;machine-generated sensor data;pattern prediction;predictive analytics;social network users","","","","","","","","2-4 Feb. 2017","","IEEE","IEEE Conferences"
"Privacy-Preserving Multi-Party Analytics over Arbitrarily Partitioned Data","S. Mehnaz; E. Bertino","Purdue Univ., West Lafayette, IN, USA","2017 IEEE 10th International Conference on Cloud Computing (CLOUD)","20170911","2017","","","342","349","Data-driven business processes are gaining popularity among enterprises now-a-days. In many situations, multiple parties would share data towards a common goal if it were possible to simultaneously protect the privacy of the individuals and organizations described in the data. Existing solutions for multi-party analytics require parties to transfer their raw data to a trusted mediator, who then performs the desired analysis on the global data, and shares the results with the parties. Unfortunately, such a solution does not fit many applications where privacy is a strong concern such as healthcare, finance and the internet-of-things. Motivated by the increasing demands for data privacy, in this paper, we study the problem of privacy-preserving multi-party analytics, where the goal is to enable analytics on multi-party data without compromising the data privacy of each individual party. We propose a secure gradient descent algorithm that enables analytics on data that is arbitrarily partitioned among multiple parties. The proposed algorithm is generic and applies to a wide class of machine learning problems. We demonstrate our solution for a popular use-case (i.e., regression), and evaluate the performance of the proposed secure solution in terms of accuracy, latency and communication cost. We also perform a scalability analysis to evaluate the performance of the proposed solution as the data size and the number of parties increase.","","Electronic:978-1-5386-1993-3; POD:978-1-5386-1994-0; USB:978-1-5386-1992-6","10.1109/CLOUD.2017.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030607","Multi-party Analytics;Privacy","Cryptography;Data privacy;Hospitals;Machine learning algorithms;Organizations;Privacy;Protocols","business data processing;data privacy;learning (artificial intelligence);trusted computing","arbitrarily partitioned data;data privacy;data size;data-driven business processes;enterprises;global data;individual party;internet-of-things;machine learning problems;multiparty data;privacy-preserving multiparty analytics;raw data;secure gradient descent algorithm;trusted mediator","","","","","","","","25-30 June 2017","","IEEE","IEEE Conferences"
"Unbinds data and tasks to improving the Hadoop performance","K. Lu; D. Dai; X. Zhou; M. Sun; C. Li; H. Zhuang","Comput. Sci. & Technol, Univ. of Sci. & Technol. of China, Hefei, China","15th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","20140901","2014","","","1","6","Hadoop is a popular framework that provides easy programming interface of parallel programs to process large scale of data on clusters of commodity machines. Data intensive programs are the important part running on the cluster especially in large scale machine learning algorithm which executes of the same program iteratively. In-memory cache of input data is an efficient way to speed up these data intensive programs. However, we cannot be able to load all the data in memory because of the limitation of memory capacity. So, the key challenge is how we can accurately know when data should be cached in memory and when it ought to be released. The other problem is that memory capacity may even not enough to hold the input data of the running program. This leads to there is some data cannot be cached in memory. Prefetching is an effective method for such situation. We provide a unbinding technology which do not put the programs and data binded together before the real computation start. With unbinding technology, Hadoop can get a better performance when using caching and prefetching technology. We provide a Hadoop framework with unbinding technology named unbinding-Hadoop which decide the map tasks' input data in the map starting up phase, not at the job submission phase. Prefetching as well can be used in unbinding-Hadoop and can get better performance compared with the programs without unbinding. Evaluations on this system show that unbinding-Hadoop reduces the execution time of jobs by 40.2% and 29.2% with WordCount programs and K-means algorithm.","","Electronic:978-1-4799-5604-3; POD:978-1-4799-5605-0","10.1109/SNPD.2014.6888710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6888710","cache system;prefetch;unbinding","Acceleration;Clustering algorithms;Electronic mail;Hard disks;Prefetching;Programming;Software algorithms","cache storage;learning (artificial intelligence);parallel programming;pattern clustering;public domain software;software performance evaluation","Hadoop performance improvement;K-means algorithm;WordCount programs;caching technology;commodity machine clusters;data intensive programs;execution time reduction;large scale data processing;large scale machine learning algorithm;memory capacity limitation;parallel programs;prefetching technology;programming interface;unbinding technology","","1","1","20","","","","June 30 2014-July 2 2014","","IEEE","IEEE Conferences"
"Multi-objective K-means evolving spiking neural network model based on differential evolution","H. N. A. Hamed; A. Y. Saleh; S. M. Shamsuddin; A. O. Ibrahim","Soft Computing Research Group1, Universiti Teknologi Malaysia (UTM), Johor, Malaysia","2015 International Conference on Computing, Control, Networking, Electronics and Embedded Systems Engineering (ICCNEEE)","20160114","2015","","","379","383","In this paper, a multi-objective K-means evolving spiking neural network (MO-KESNN) model based on differential evolution for clustering problems has been presented. K-means has been utilized to improve the ESNN model. This model enhances the flexibility of the ESNN algorithm in producing better solutions which is used to overcome the disadvantages of K-means. Several standard data sets from UCI machine learning are used for evaluating the performance of this model. It has been found that MO-KESNN gives competitive results in clustering accuracy performance and the number of pre-synaptic neurons measure simultaneously compared to the standard K-means. More discussion is provided to prove the effectiveness of the new model in clustering problems.","","CD-ROM:978-1-4673-7867-3; Electronic:978-1-4673-7869-7; POD:978-1-4673-7870-3","10.1109/ICCNEEE.2015.7381395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7381395","K- means;MO- KESNN;Multi-objective","Clustering algorithms;Computational modeling;Neurons;Optimization;Sociology;Statistics","evolutionary computation;learning (artificial intelligence);neural nets;pattern clustering","MO-KESNN;UCI machine learning;clustering problems;differential evolution;multi-objective K-means evolving spiking neural network","","","","24","","","","7-9 Sept. 2015","","IEEE","IEEE Conferences"
"An architecture for efficiently establishing the classroom cloud","J. W. Rau; Y. S. Chen","Department of Electrical Engineering, Yuan Ze University, Chung-Li 32003, Taoyuan, Taiwan, ROC","2013 International Conference on Machine Learning and Cybernetics","20140908","2013","03","","1418","1422","Cloud computing is the key for Big Data analytics. Apache Hadoop makes it feasible to process the immense data set. An experimental environment with flexibility is required to do education and research with Big Data. However, this solution brings with the challenges that are how to manage large number of computers in the Hadoop cluster, and how to reuse the idle computer resources. In this paper, we propose the classroom cloud infrastructure to overcome the challenges. With this infrastructure, we can reuse the idle computer resources in the classroom for education and research. The case study of such a classroom cloud implemented in YZU is presented and discussed to help reader who can follow architecture to set up their personal Hadoop experimental environment in the classroom.","2160-133X;2160133X","Electronic:978-1-4799-0260-6; POD:978-1-4799-0259-0","10.1109/ICMLC.2013.6890805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890805","Classroom Cloud;Computer resource management;Hadoop;Virtual machine","Cloud computing;Computer architecture;Computers;Hardware;Servers;User interfaces;Virtual machining","Big Data;cloud computing;computer aided instruction;data analysis;public domain software","Apache Hadoop cluster;Big Data analytics;YZU;classroom cloud infrastructure;cloud computing;data set;education;idle computer resources;personal Hadoop experimental environment;research","","2","","14","","","","14-17 July 2013","","IEEE","IEEE Conferences"
"A prediction model based on Big Data analysis using hybrid FCM clustering","S. Yang; J. Kim; M. Chung","Dept. of Computer Eng., Pukyong National University Busan 608-737, Korea","The 9th International Conference for Internet Technology and Secured Transactions (ICITST-2014)","20150212","2014","","","337","339","The prediction models based on unsupervised learning are fast and need not have labeled data. However, the analysis for prediction is quite difficult, since no information about the data is given to us for learning. This paper proposes a prediction model based on Big Data analysis using hybrid FCM clustering algorithm to address these problems. The proposed model conducts automatic classification without external interference and shows the advantages of both supervised and unsupervised learning. We expect that the proposed model might contribute to enhance automation standards in various intelligent systems which need appropriate prediction using proposed framework, Co-Biz.","","Electronic:978-1-908320-39-1; POD:978-1-4799-1825-6; USB:978-1-908320-40-7","10.1109/ICITST.2014.7038833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7038833","Big Data Analysis;FCM Clustering;Framework;Machine Learning","Algorithm design and analysis;Classification algorithms;Clustering algorithms;Data models;Prediction algorithms;Predictive models;Unsupervised learning","Big Data;data analysis;pattern classification;pattern clustering;unsupervised learning","Big Data analysis;Co-Biz;automatic classification;hybrid FCM clustering algorithm;intelligent systems;prediction model;supervised learning;unsupervised learning","","0","","6","","","","8-10 Dec. 2014","","IEEE","IEEE Conferences"
"An Improved Incremental Training Approach for Large Scaled Dataset Based on Support Vector Machine","J. Guo","Grad. Sch. of Inf., Waseda Univ., Fukuoka, Japan","2016 IEEE/ACM 3rd International Conference on Big Data Computing Applications and Technologies (BDCAT)","20170316","2016","","","149","157","The Support Vector Machine(SVM) is well known in machine learning and artificial intelligence for its high performance in data classification, regression and forecasting. Usually for large scaled dataset, an incremental training algorithm is applied for tuning or balancing the training cost and the accuracy in SVM applications. This paper presents an improved incremental training approach for large scaled dataset on SVM. We focus on data's own distribution information to unfold our research, we proposed a self adaptive clustering method to extract the area and density information of data, a border detection technologies and uncertainty strategy is applied to maintain the border and some potential samples. Our proposed method can greatly reduce the training error for incremental training on SVM, especially for some uneven distribution dataset. We can greatly tuning or balancing the training cost and the accuracy of algorithms to achieve a better performance.","","Electronic:978-1-4503-4617-7; POD:978-1-5090-4468-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877062","Classification;Data distribution;Incremental learning;Self adaptive clustering;Uncertainty","Data mining;Organizations;Support vector machines;Training;Training data;Tuning;Uncertainty","learning (artificial intelligence);pattern classification;pattern clustering;regression analysis;support vector machines","SVM;artificial intelligence;border detection technologies;data classification;data distribution information;incremental training approach;large scaled dataset;machine learning;regression;self adaptive clustering method;support vector machine;uncertainty strategy","","","","","","","","6-9 Dec. 2016","","IEEE","IEEE Conferences"
"A Cloud System for Machine Learning Exploiting a Parallel Array DBMS","Y. Zhang; C. Ordonez; L. Johnsson","Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA","2017 28th International Workshop on Database and Expert Systems Applications (DEXA)","20170928","2017","","","22","26","Computing machine learning models in the cloud remains a central problem in big data analytics. In this work, we introduce a cloud analytic system exploiting a parallel array DBMS based on a classical shared-nothing architecture. Our approach combines in-DBMS data summarization with mathematical processing in an external program. We study how to summarize a data set in parallel assuming a large number of processing nodes and how to further accelerate it with GPUs. In contrast to most big data analytic systems, we do not use Java, HDFS, MapReduce or Spark: our system is programmed in C++ and C on top of a traditional Unix system. In our system, models are efficiently computed using a suite of innovative parallel matrix operators, which compute comprehensive statistical summaries of a large input data set (matrix) in one pass, leaving the remaining mathematically complex computations, with matrices that fit in RAM, to R. In order to be competitive with the Hadoop ecosystem (i.e. HDFS and Spark RDDs) we also introduce a parallel load operator for large matrices and an automated, yet flexible, cluster configuration in the cloud. Experiments compare our system with Spark, showing orders of magnitude time improvement. A GPU with many cores widens the gap further. In summary, our system is a competitive solution.","","Electronic:978-1-5386-1051-0; POD:978-1-5386-2207-0; USB:978-1-5386-1050-3","10.1109/DEXA.2017.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8049679","DBMS;GPU;cloud;machine learning;matrix;parallel","Arrays;Cloud computing;Computational modeling;Data models;Loading;Random access memory;Sparks","C++ language;Unix;cloud computing;data analysis;graphics processing units;learning (artificial intelligence);parallel databases","C;C++;GPU;Spark;Unix file system;cloud analytic system;cloud computing;in-DBMS data summarization;machine learning;mathematical processing;parallel array DBMS;parallel matrix operators;shared-nothing architecture","","","","","","","","28-31 Aug. 2017","","IEEE","IEEE Conferences"
"Graphine: Programming Graph-Parallel Computation of Large Natural Graphs for Multicore Clusters","J. Yan; G. Tan; Z. Mo; N. Sun","State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences","IEEE Transactions on Parallel and Distributed Systems","20160512","2016","27","6","1647","1659","Graph-parallel computation has become a crucial component in emerging applications of web search, data analytics and machine learning. In practice, most graphs derived from real-world phenomena are very large and scale-free. Unfortunately, distributed graph-parallel computation of these natural graphs still suffers strong scalability issues on contemporary multicore clusters. To embrace the multicore architecture in distributed graph-parallel computation, we propose the framework Graphine, which features (i) A Scatter-Combine computation abstraction that is evolved from the traditional vertex-centric approach by fusing the paired scatter and gather operations, executed separately on two edge sides, into a one-sided scatter. Further coupled with active message mechanism, it potentially reduces intermediate message cost and enables fine-grained parallelism on multicore architecture. (ii) An Agent-Graph data model, which leverages an idea similar to vertex-cut but conceptually splits the remote replica into two agent types of scatter and combiner, resulting in less communication. We implement the Graphine framework and evaluate it using several representative algorithms on six large real-world graphs and a series of synthetic graphs with power-law degree distributions. We show that Graphine achieves sublinear scalability with the number of cores per node, number of nodes, and graph sizes (up to one billion vertices), and is 2~15 times faster than the state-of-the-art PowerGraph on a cluster of 16 multicore nodes.","1045-9219;10459219","","10.1109/TPDS.2015.2453978","973 Program; National 863 Program; 10.13039/501100001809 - National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152922","Computational Model;Graph-Parallel;Graph-parallel;Parallel Framework;computational model;parallel framework","Computational modeling;Data models;Mirrors;Multicore processing;Runtime;Scalability","multiprocessing systems;parallel programming","Graphine framework;Web search;active message mechanism;agent-graph data model;data analytics;graph-parallel computation programming;machine learning;multicore architecture;multicore clusters;natural graphs;paired scatter-and-gather operations;power-law degree distribution;scatter-combine computation abstraction;vertex-centric approach","","1","","49","","","20150708","June 1 2016","","IEEE","IEEE Journals & Magazines"
"Study on big data analytics research domains","S. Malgaonkar; S. Soral; S. Sumeet; T. Parekhji","Research and Development, Mulund, Mumbai, India","2016 5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","20161219","2016","","","200","206","Data Analytics is the trending domain that analyses data to observe patterns and predict future outcomes. The outcomes are based upon analysis of past and current trends and behaviors. Data analytics deals with both descriptive and predictive analyses of data. Descriptive Data Analytics summarizes the data, it's behavior and draws useful conclusion from it. Predictive Data Analytics is the branch of data analytics that predicts future outcomes based on the current and historical data. These future predictions are drawn by observing patterns followed for past data and outcomes for the past events for similar scenarios. In this paper, various branches of data analytics have been discussed. Big data analytics architecture gives an overview of the various tools and system structure involved in big data analytics. Big data analytics is closely related to data mining and hence, implements data mining algorithms. Latter part of the paper covers machine learning algorithms and neural networks for training the dataset to recognize patterns for the modeled data and predict outcomes based on the training and pattern recognition. Modeling of data using neural networks helps in generating accurate and exhaustive outcomes.","","Electronic:978-1-5090-1489-7; POD:978-1-5090-1490-3","10.1109/ICRITO.2016.7784952","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784952","analytics;big data;classification;cloud;clustering;neural;regression","","Big Data;data analysis;data mining;learning (artificial intelligence);neural nets;pattern recognition","big data analytics;data mining;descriptive data analytics;future outcomes prediction;machine learning;neural networks;pattern recognition;predictive data analytics","","","","","","","","7-9 Sept. 2016","","IEEE","IEEE Conferences"
"Learning From Hidden Traits: Joint Factor Analysis and Latent Clustering","B. Yang; X. Fu; N. D. Sidiropoulos","Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, USA","IEEE Transactions on Signal Processing","20161104","2017","65","1","256","269","Dimensionality reduction techniques play an essential role in data analytics, signal processing, and machine learning. Dimensionality reduction is usually performed in a preprocessing stage that is separate from subsequent data analysis, such as clustering or classification. Finding reduced-dimension representations that are well-suited for the intended task is more appealing. This paper proposes a joint factor analysis and latent clustering framework, which aims at learning cluster-aware low-dimensional representations of matrix and tensor data. The proposed approach leverages matrix and tensor factorization models that produce essentially unique latent representations of the data to unravel latent cluster structure-which is otherwise obscured because of the freedom to apply an oblique transformation in latent space. At the same time, latent cluster structure is used as prior information to enhance the performance of factorization. Specific contributions include several custom-built problem formulations, corresponding algorithms, and discussion of associated convergence properties. Besides extensive simulations, real-world datasets such as Reuters document data and MNIST image data are also employed to showcase the effectiveness of the proposed approaches.","1053-587X;1053587X","","10.1109/TSP.2016.2614491","10.13039/100000001 - National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7579562","Factor analysis;clustering;clustering prior;dimensionality reduction;factorial $K$ -means;identifiability;matrix factorization;reduced $K$ -means;subspace learning;tensor factorization","Algorithm design and analysis;Analytical models;Clustering algorithms;Convergence;Data models;Signal processing;Tensile stress","learning (artificial intelligence);matrix algebra;pattern clustering;signal processing","cluster structure;data analytics;dimensionality reduction techniques;hidden traits;joint factor analysis;latent clustering framework;learning;machine learning;matrix data;matrix factorization models;reduced dimension representations;signal processing;subsequent data analysis;tensor data;tensor factorization models","","","","","","","20160929","Jan.1, 1 2017","","IEEE","IEEE Journals & Magazines"
"Automated Medical Diagnosis from Clinical Data","V. S. Pendyala; S. Figueira","Dept. of Comput. Eng., Santa Clara Univ., Santa Clara, CA, USA","2017 IEEE Third International Conference on Big Data Computing Service and Applications (BigDataService)","20170612","2017","","","185","190","A significant portion of the world population does not have access to proper healthcare. The key factor for healthcare's success is the physician's expertise. In this paper, we examine if that expertise can be modeled as an information corpus, a flavor of Big Data and extracted using text mining techniques, particularly using the Vector Space Model, to perform diagnosis. Using cloud and mobile technologies, medical diagnosis can then be made available everywhere there is Internet connectivity, reducing costs, increasing coverage and improving quality of life. The key to the possibility of performing medical diagnosis using an information retrieval approach is the data. This paper therefore focuses on the suitability of the dataset for automating diagnosis using text mining. We use various text mining tools relevant to the Vector Space Model to perform operations on the data to see if meaningful conclusions can be drawn from it. We present some of our observations from the experiments conducted and conclude with future directions.","","Electronic:978-1-5090-6318-5; POD:978-1-5090-6319-2","10.1109/BigDataService.2017.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7944937","Cluster Analysis;Information Retrieval;K-means;Machine Learning;Medical Diagnosis;TF-IDF;Text Mining;Vector Space Model","Cloud computing;Diseases;Medical diagnosis;Medical diagnostic imaging;Text mining","Big Data;cloud computing;data mining;health care;information retrieval;medical information systems;mobile computing;patient diagnosis;text analysis","Big Data;Internet connectivity;automated medical diagnosis;clinical data;cloud technologies;healthcare;information corpus;information retrieval approach;mobile technologies;physician expertise;text mining techniques;text mining tools;vector space model;world population","","","","","","","","6-9 April 2017","","IEEE","IEEE Conferences"
"Machine learning at the limit","J. Canny; H. Zhao; B. Jaros; Y. Chen; J. Mao","UC Berkeley, Berkeley, CA 94720, USA","2015 IEEE International Conference on Big Data (Big Data)","20151228","2015","","","233","242","Many systems have been developed for machine learning at scale. Performance has steadily improved, but there has been relatively little work on explicitly defining or approaching the limits of performance. In this paper we describe the application of roofline design, an approach borrowed from computer architecture, to large-scale machine learning. In roofline design, one exposes ALU, memory, and network limits, and the constraints they imply for algorithms. Using roofline design, we have developed a system called BIDMach which has demonstrated the highest performance to date for many ML problems. On one GPU-accelerated node, it generally outperforms other single-machine toolkits and cluster toolkits running on 100s of nodes. This performance level is enabled by a relatively small number of rooflined matrix primitives. Such performance implies a dramatic reduction in the energy used to perform these calculations. Beyond matrix kernels, roofline design can be applied to the end-to-end design of machine learning algorithms which minimize memory usage to optimize speed. This approach offers a further 2x to 3x gain in performance. Roofline design can also be applied to network primitives. We describe recent work on a sparse allreduce primitive called Kylix. We have shown that Kylix approaches the practical network throughput limit for allreduce, a basic primitive for distributed machine learning. Using Kylix, we describe an efficient transformation from model-parallel to data-parallel calculations. This transformation uses a secondary storage roofline, with similar parameters to the network. Finally, we describe several deployments of these techniques on real-world problems in two large internet companies. Once again, single node rooflined design demonstrated substantial gains over alternatives on either single nodes or clusters.","","Electronic:978-1-4799-9926-2; POD:978-1-4799-9927-9","10.1109/BigData.2015.7363760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363760","Big Data;Distributed Systems;Scalable Machine Learning","Algorithm design and analysis;Benchmark testing;Graphics processing units;Machine learning algorithms;Scalability;Sparse matrices;Throughput","graphics processing units;learning (artificial intelligence);matrix algebra;parallel processing","ALU;BIDMach;GPU-accelerated node;Kylix;ML problems;data-parallel calculation;distributed machine learning;end-to-end design;matrix kernels;memory usage minimization;model-parallel calculation;rooflined matrix primitives;secondary storage roofline;single node rooflined design;sparse allreduce primitive","","2","","13","","","","Oct. 29 2015-Nov. 1 2015","","IEEE","IEEE Conferences"
"Solving cold-start problem in large-scale recommendation engines: A deep learning approach","J. Yuan; W. Shalaby; M. Korayem; D. Lin; K. AlJadda; J. Luo","Department of Computer Science, University of Rochester, New York","2016 IEEE International Conference on Big Data (Big Data)","20170206","2016","","","1901","1910","Collaborative Filtering (CF) is widely used in large-scale recommendation engines because of its efficiency, accuracy and scalability. However, in practice, the fact that recommendation engines based on CF require interactions between users and items before making recommendations, make it inappropriate for new items which haven't been exposed to the end users to interact with. This is known as the cold-start problem. In this paper we introduce a novel approach which employs deep learning to tackle this problem in any CF based recommendation engine. One of the most important features of the proposed technique is the fact that it can be applied on top of any existing CF based recommendation engine without changing the CF core. We successfully applied this technique to overcome the item cold-start problem in Careerbuilder's CF based recommendation engine. Our experiments show that the proposed technique is very efficient to resolve the cold-start problem while maintaining high accuracy of the CF recommendations.","","Electronic:978-1-4673-9005-7; POD:978-1-4673-9006-4","10.1109/BigData.2016.7840810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7840810","Cold-Start;Deep Learning;Document Similarity;Job Search;Recommendation System","Big data;Correlation;Electronic mail;Engines;Filtering;Machine learning;Semantics","collaborative filtering;learning (artificial intelligence);recommender systems","Careerbuilder CF based recommendation engine;collaborative filtering;deep learning;item cold-start problem;large-scale recommendation engines","","1","","","","","","5-8 Dec. 2016","","IEEE","IEEE Conferences"
"An unsupervised fuzzy clustering method for twitter sentiment analysis","H. Suresh; Gladston Raj S.","School of Computer Sciences, Mahatma Gandhi University, Kottayam, India","2016 International Conference on Computation System and Information Technology for Sustainable Solutions (CSITSS)","20161212","2016","","","80","85","Cluster based techniques on sentiment analysis is a novel approach for analyzing sentiments expressed in social media sites. It is a main task of exploratory data mining, and a common technique used in machine learning. In contrast to supervised learning technique, the cluster based techniques produce essentially accurate experimental results without manual processing, linguistic knowledge or training time. This paper presents a novel fuzzy clustering model to analyze twitter feeds regarding the sentiments of a particular brand using the real dataset collected over a period of one year. Then a comparative analysis is made with the existing partitioning clustering techniques namely K Means and Expectation Maximization algorithms based on metrics namely accuracy, precision, recall and execution time. According to the experimental analysis, the proposed approach is tested to be practicable in performing high quality twitter sentiment analysis results.","","Electronic:978-1-5090-1022-6; POD:978-1-5090-1023-3; Paper:978-1-5090-1020-2; USB:978-1-5090-1021-9","10.1109/CSITSS.2016.7779444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7779444","Expectation Maximization (EM);Sentiment Analysis (SA);Simple K-Means;partitioning clustering techniques","Adaptation models;Analytical models;Support vector machine classification;Tagging;Twitter;Uniform resource locators","data mining;expectation-maximisation algorithm;fuzzy set theory;marketing data processing;pattern clustering;sentiment analysis;social networking (online);unsupervised learning","K means clustering;Twitter feeds;expectation-maximization algorithms;exploratory data mining;high quality Twitter sentiment analysis;machine learning;partitioning clustering;social media sites;unsupervised fuzzy clustering method","","","","","","","","6-8 Oct. 2016","","IEEE","IEEE Conferences"
"Online machine learning for cloud resource provisioning of microservice backend systems","H. Alipour; Y. Liu","Concordia University, Electronic and Computer Engineering, Montreal, Canada","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","2433","2441","Microservices are bundled and generating traffic on the backend systems that need to scale on demand. When microservices generate variant and unexpected, the challenge is to classify the workload on the backend systems and adjust the scaling policy to reflect the resource demand timely and accurately. In this paper, we propose a microservice architecture that encapsulates functions of monitoring metrics and learning workload pattern. Then this service architecture is used to predict the future workload for decision making on resource provisioning. We deploy two machine learning algorithms and predict the resource demand of the backend systems of microservices emulated by a Netflix workload benchmark application. This service architecture presents an integrated solution of implementing self-managing cloud data services under variant workload.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8258201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258201","Auto-scaling;Cloud Computing;Machine learning","Cloud computing;Data models;Measurement;Monitoring;Predictive models;Training;Unified modeling language","cloud computing;decision making;learning (artificial intelligence);pattern clustering","Netflix workload benchmark application;cloud resource provisioning;decision making;machine learning algorithms;microservice architecture;microservice backend systems;monitoring metrics;online machine learning;resource demand;scaling policy;self-managing cloud data services;variant workload;workload pattern learning","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"MPLEX: In-Situ Big Data Processing with Compute-Storage Multiplexing","J. Rahman; P. Lama","Dept. of Comput. Sci., Univ. of Texas at San Antonio, San Antonio, TX, USA","2017 IEEE 25th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)","20171116","2017","","","43","52","Cloud-based services are increasingly popular for big data analytics due to the flexibility, scalability, and cost-effectiveness of provisioning elastic resources on-demand. However, data analytics-as-a-service suffers from the overheads of data movement between compute and storage clusters, due to their decoupled architecture in existing cloud infrastructure. In this work, we propose a novel approach of in-situ big data processing on cloud storage by dynamically offloading data-intensive jobs from compute cluster to storage cluster, and improve job throughput. However, it is challenging to achieve this goal since introducing additional workload on the storage cluster can significantly impact interactive web requests that fetch cloud storage data, with strict SLA (service-level agreement) for tail latency. In this work, we present MPLEX, a system that augments data analytics-as-a-service by efficiently multiplexing compute and storage cluster to improve job throughput without violating the SLA of cloud storage service in terms of tail response time. It applies an SLA-aware opportunistic job scheduling technique supported by a machine learning based prediction model to exploit the dynamic workload conditions in the compute, and storage cluster. Performance evaluations on an OpenStack Swift cluster, and an OpenStack based virtual cluster of Hadoop VMs built atop NSFCloud's Chameleon testbed show that MPLEX improves the Hadoop job throughput by up to 1.7X, while maintaining the SLA for cloud storage service requests.","","Electronic:978-1-5386-2764-8; POD:978-1-5386-2765-5; USB:978-1-5386-2763-1","10.1109/MASCOTS.2017.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8107430","Hadoop;Map Reduce;Object Storage;big data;cloud;multiplexing","Big Data;Cloud computing;Computational modeling;Multiplexing;Predictive models;Throughput;Time factors","Big Data;cloud computing;contracts;data analysis;learning (artificial intelligence);scheduling","Hadoop VMs;MPLEX;NSFCloud's Chameleon testbed;OpenStack Swift cluster;big data analytics;cloud storage data;cloud storage service requests;cloud-based services;compute cluster;compute-storage multiplexing;data analytics-as-a-service;data analytics-as-a-service suffers;data movement;data-intensive jobs;in-situ big data processing;interactive Web requests;job throughput;machine learning;offloading data-intensive jobs;performance evaluations;prediction model;service-level agreement;storage cluster;tail latency","","","","","","","","20-22 Sept. 2017","","IEEE","IEEE Conferences"
